name,year,award,link
Gerald Loeb Awards,2025,Winner,https://www.prnewswire.com/news-releases/winners-of-the-2025-gerald-loeb-awards-announced-by-ucla-anderson-at-new-york-city-event-302580552.html
Online Journalism Awards (OJAs),2025,"Finalist, Excellence in Visual Digital Storytelling",https://awards.journalists.org/entries/how-social-media-set-the-stage-for-right-wing-political-victories/
Online Journalism Awards (OJAs),2025,"Finalist, Excellence in Technology Reporting",https://awards.journalists.org/entries/the-hidden-power-costs-of-ai/
National Press Club (NPC) Awards,2025,Honorable Mention,https://www.press.org/newsroom/ap-bloomberg-news-wall-street-journal-win-awards-national-press-club
Society for News Design (SND) Awards,2025,"Bronze, Investigative",https://snd.org/best-of-design-competitions/results/
Society for News Design (SND) Awards,2025,"Bronze, Social Issues",https://snd.org/best-of-design-competitions/results/
Society for News Design (SND) Awards,2025,3 Awards of Excellence,https://snd.org/best-of-design-competitions/results/
Society of American Business Editors and Writers Awards (SABEW),2025,Honorable Mention,https://sabew.org/2025/03/2024-best-in-business-awards/
Gerald Loeb Awards,2024,Finalist,https://www.prnewswire.com/news-releases/2024-loeb-award-finalists-career-honorees-and-awards-event-at-rainbow-room-in-new-york-city-announced-by-ucla-anderson-302228597.html
Online Journalism Awards (OJAs),2024,"Winner, Excellence in Technology Reporting",https://awards.journalists.org/entries/uncovering-bias-in-two-leading-ai-systems/
Sigma Awards,2024,Winner,https://www.sigmaawards.org/meet-the-winners-of-the-sigmas-2024-for-data-journalism/
Society for News Design (SND) Awards,2024,6 Awards of Excellence,https://snd.org/best-of-design-competitions/results/
Michael Breheny Prize,2024,Winner,
NIHCM Digital Media Award,2023,Finalist,https://nihcm.org/awards/digital-media/finalists
Information is Beautiful Awards,2022,Shortlist,https://www.informationisbeautifulawards.com/showcase/5416-when-women-make-headlines
The Pudding Cup,2020,Honorable Mention,https://pudding.cool/process/pudding-cup-2020/
